Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
2000-10-29,ST Jayasuriya,189,FALSE,NA,161,21,4,117.3913043478261,1,B,India,Sharjah
2013-07-02,WU Tharanga,174,TRUE,228,159,19,3,109.43396226415094,1,B,India,Kingston
2013-07-20,KC Sangakkara,169,FALSE,200,137,18,6,123.35766423357664,1,B,South Africa,Colombo (RPS)
2015-02-26,TM Dilshan,161,TRUE,221,146,22,0,110.27397260273972,1,B,Bangladesh,Melbourne
2012-02-28,TM Dilshan,160,TRUE,202,165,11,3,96.96969696969697,1,B,India,Hobart
2009-12-15,TM Dilshan,160,FALSE,186,124,20,3,129.03225806451613,2,B,India,Rajkot
2006-07-04,ST Jayasuriya,157,FALSE,157,104,24,1,150.96153846153845,1,B,Netherlands,Amstelveen
2006-07-01,ST Jayasuriya,152,FALSE,148,99,20,4,153.53535353535352,2,B,England,Leeds
1997-05-17,ST Jayasuriya,151,TRUE,189,120,17,4,125.83333333333333,2,B,India,Wankhede
1996-03-06,PA de Silva,145,FALSE,153,115,14,5,126.08695652173914,1,B,Kenya,Kandy
2011-03-10,TM Dilshan,144,FALSE,186,131,16,1,109.92366412213741,1,B,Zimbabwe,Pallekele
2011-07-01,DPMD Jayawardene,144,FALSE,196,150,14,0,96,1,B,England,Leeds
1994-12-08,ST Jayasuriya,140,FALSE,183,143,9,6,97.9020979020979,1,B,New Zealand,Bloemfontein
2019-01-05,NLTC Perera,140,FALSE,NA,74,8,13,189.1891891891892,2,B,New Zealand,Mount Maunganui
2014-11-16,AD Mathews,139,TRUE,141,116,6,10,119.82758620689656,1,B,India,Ranchi
2015-03-01,HDRL Thirimanne,139,TRUE,197,143,13,2,97.2027972027972,2,B,England,Wellington
2005-10-31,KC Sangakkara,138,TRUE,210,147,13,2,93.87755102040816,1,B,India,Jaipur
2009-01-24,TM Dilshan,137,TRUE,221,139,10,0,98.56115107913669,1,B,Pakistan,Lahore
2022-06-19,P Nissanka,137,FALSE,203,147,11,2,93.19727891156462,2,B,Australia,Colombo (RPS)
2016-06-18,MDKJ Perera,135,FALSE,NA,128,16,2,105.46875,1,B,Ireland,Dublin (Malahide)
1997-11-05,ST Jayasuriya,134,TRUE,NA,114,13,3,117.54385964912282,2,B,Pakistan,Lahore
2013-06-13,KC Sangakkara,134,TRUE,197,135,12,0,99.25925925925925,2,B,England,The Oval
1996-04-02,ST Jayasuriya,134,FALSE,NA,65,11,11,206.15384615384613,1,B,Pakistan,Singapore
1997-04-07,PA de Silva,134,FALSE,NA,131,11,4,102.29007633587786,1,B,Pakistan,Sharjah
2011-03-10,WU Tharanga,133,FALSE,182,141,17,0,94.32624113475178,1,B,Zimbabwe,Pallekele
2012-07-21,KC Sangakkara,133,FALSE,208,151,12,0,88.0794701986755,2,B,India,Hambantota
2019-10-02,MD Gunathilaka,133,FALSE,NA,134,16,1,99.25373134328358,1,B,Pakistan,Karachi
1998-08-20,MS Atapattu,132,TRUE,197,151,14,0,87.41721854304636,2,B,England,Lord's
2000-10-04,DA Gunawardene,132,FALSE,200,146,19,0,90.41095890410958,1,B,West Indies,Nairobi (Gym)
1997-07-18,A Ranatunga,131,TRUE,221,152,17,0,86.18421052631578,2,B,India,Colombo (RPS)
2004-07-27,ST Jayasuriya,130,FALSE,213,132,14,1,98.48484848484848,2,B,India,Colombo (RPS)
2008-06-30,ST Jayasuriya,130,FALSE,119,88,16,6,147.72727272727272,1,B,Bangladesh,Karachi
2000-10-27,DPMD Jayawardene,128,FALSE,NA,123,15,0,104.06504065040652,1,B,India,Sharjah
2008-02-19,KC Sangakkara,128,FALSE,241,155,12,0,82.58064516129032,1,B,India,Adelaide
2014-02-20,KC Sangakkara,128,FALSE,181,115,14,0,111.30434782608695,1,B,Bangladesh,Mirpur
1996-09-03,PA de Silva,127,TRUE,NA,123,13,1,103.2520325203252,2,B,Zimbabwe,Colombo (SSC)
2020-02-26,WIA Fernando,127,FALSE,NA,123,10,0,103.2520325203252,1,B,West Indies,Hambantota
2006-06-24,DPMD Jayawardene,126,TRUE,153,127,19,0,99.21259842519686,2,B,England,Chester-le-Street
2008-07-06,ST Jayasuriya,125,FALSE,146,114,9,5,109.64912280701755,1,B,India,Karachi
2013-03-28,TM Dilshan,125,FALSE,206,128,12,0,97.65625,1,B,Bangladesh,Pallekele
2003-03-03,MS Atapattu,124,FALSE,191,129,18,0,96.12403100775194,1,B,South Africa,Durban
2015-03-11,KC Sangakkara,124,FALSE,139,95,13,4,130.5263157894737,1,B,Scotland,Hobart
2002-12-01,MS Atapattu,123,TRUE,185,121,15,1,101.65289256198346,2,B,South Africa,Benoni
2009-08-03,DPMD Jayawardene,123,FALSE,140,108,14,1,113.88888888888889,2,B,Pakistan,Dambulla
2009-12-18,TM Dilshan,123,FALSE,156,113,12,2,108.84955752212389,2,B,India,Nagpur
1996-10-04,PA de Silva,122,FALSE,NA,116,12,2,105.17241379310344,2,B,Pakistan,Nairobi (Gym)
2003-01-09,ST Jayasuriya,122,FALSE,146,105,12,4,116.1904761904762,1,B,Australia,Sydney
2006-06-20,ST Jayasuriya,122,FALSE,173,136,15,2,89.70588235294117,1,B,England,The Oval
1982-09-26,RL Dias,121,FALSE,NA,144,11,NA,84.02777777777779,1,B,India,Bengaluru
2008-06-30,KC Sangakkara,121,FALSE,193,128,16,1,94.53125,1,B,Bangladesh,Karachi
1996-08-28,ST Jayasuriya,120,TRUE,NA,128,8,3,93.75,2,B,India,Colombo (RPS)
1999-01-23,DPMD Jayawardene,120,FALSE,162,111,9,0,108.10810810810811,2,B,England,Adelaide
2003-02-10,ST Jayasuriya,120,FALSE,147,125,14,0,96,1,B,New Zealand,Bloemfontein
2006-06-17,WU Tharanga,120,FALSE,221,156,14,0,76.92307692307693,1,B,England,Lord's
2021-05-28,MDKJ Perera,120,FALSE,163,122,11,1,98.36065573770492,1,B,Bangladesh,Mirpur
1994-11-03,RS Mahanama,119,TRUE,205,142,8,0,83.80281690140845,1,B,Zimbabwe,Harare
2000-02-13,MS Atapattu,119,TRUE,NA,135,7,0,88.14814814814815,1,B,Pakistan,Karachi
2012-06-09,TM Dilshan,119,TRUE,210,139,11,1,85.61151079136691,1,B,Pakistan,Pallekele
2017-02-07,WU Tharanga,119,FALSE,121,90,11,7,132.22222222222223,2,B,South Africa,Cape Town
2020-02-26,BKG Mendis,119,FALSE,NA,119,12,0,100,1,B,West Indies,Hambantota
2010-01-08,WU Tharanga,118,TRUE,179,126,18,0,93.65079365079364,2,B,Bangladesh,Mirpur
1997-08-17,MS Atapattu,118,FALSE,208,153,7,0,77.12418300653596,1,B,India,Colombo (RPS)
2009-12-24,WU Tharanga,118,FALSE,NA,128,14,2,92.1875,1,B,India,Kolkata
2014-11-09,DPMD Jayawardene,118,FALSE,NA,124,12,1,95.16129032258065,1,B,India,Hyderabad (Deccan)
2021-09-02,WIA Fernando,118,FALSE,189,115,10,2,102.60869565217392,1,B,South Africa,Colombo (RPS)
1994-04-18,AP Gurusinha,117,TRUE,190,140,9,1,83.57142857142857,2,B,New Zealand,Sharjah
2006-07-04,TM Dilshan,117,TRUE,97,78,15,2,150,1,B,Netherlands,Amstelveen
2015-03-01,KC Sangakkara,117,TRUE,116,86,11,2,136.04651162790697,2,B,England,Wellington
2001-04-10,DPMD Jayawardene,116,FALSE,NA,129,13,0,89.92248062015504,1,B,New Zealand,Sharjah
2015-01-15,TM Dilshan,116,FALSE,174,127,17,0,91.33858267716536,2,B,New Zealand,Hamilton
2015-01-23,TM Dilshan,116,FALSE,152,106,17,1,109.43396226415094,2,B,New Zealand,Dunedin
2015-07-26,MDKJ Perera,116,FALSE,157,109,9,4,106.42201834862387,1,B,Pakistan,Hambantota
2017-07-06,MD Gunathilaka,116,FALSE,153,111,15,1,104.5045045045045,2,B,Zimbabwe,Hambantota
2017-07-08,N Dickwella,116,FALSE,172,118,8,0,98.30508474576271,1,B,Zimbabwe,Hambantota
2007-04-24,DPMD Jayawardene,115,TRUE,155,109,10,3,105.50458715596329,1,B,New Zealand,Kingston
2013-07-28,TM Dilshan,115,TRUE,192,130,16,0,88.46153846153845,2,B,South Africa,Pallekele
2007-04-01,ST Jayasuriya,115,FALSE,183,101,10,4,113.86138613861385,1,B,West Indies,Providence
2017-02-10,DAS Gunaratne,114,TRUE,168,117,14,2,97.43589743589743,2,B,South Africa,Centurion
2006-01-22,ST Jayasuriya,114,FALSE,132,96,10,4,118.75,1,B,Australia,Sydney
2013-03-23,TM Dilshan,113,TRUE,160,108,11,0,104.62962962962963,2,B,Bangladesh,Hambantota
2015-01-29,KC Sangakkara,113,TRUE,159,105,14,0,107.61904761904762,1,B,New Zealand,Wellington
2019-07-06,AD Mathews,113,FALSE,157,128,10,2,88.28125,1,B,India,Leeds
2017-10-16,WU Tharanga,112,TRUE,NA,144,14,0,77.77777777777779,2,B,Pakistan,Abu Dhabi
2002-07-02,ST Jayasuriya,112,FALSE,123,87,9,5,128.73563218390805,1,B,England,Leeds
2008-06-29,KC Sangakkara,112,FALSE,202,110,10,1,101.81818181818181,1,B,Pakistan,Karachi
2014-05-31,KC Sangakkara,112,FALSE,156,104,14,0,107.6923076923077,1,B,England,Lord's
2014-12-13,KC Sangakkara,112,FALSE,169,112,12,2,100,1,B,England,Pallekele
2017-12-13,AD Mathews,111,TRUE,184,132,9,3,84.0909090909091,2,B,India,Mohali
2004-10-14,MS Atapattu,111,FALSE,160,114,8,2,97.36842105263158,1,B,Pakistan,Lahore
2006-12-28,ST Jayasuriya,111,FALSE,105,82,12,5,135.3658536585366,2,B,New Zealand,Napier
2010-06-05,LD Chandimal,111,FALSE,130,118,6,5,94.0677966101695,2,B,India,Harare
2011-03-18,KC Sangakkara,111,FALSE,186,128,12,2,86.71875,1,B,New Zealand,Wankhede
2011-08-16,WU Tharanga,111,FALSE,182,139,12,0,79.85611510791367,1,B,Australia,Hambantota
2019-07-26,MDKJ Perera,111,FALSE,NA,99,17,1,112.12121212121211,1,B,Bangladesh,Colombo (RPS)
2006-10-10,WU Tharanga,110,FALSE,158,130,13,1,84.61538461538461,1,B,Zimbabwe,Ahmedabad
2007-02-11,KC Sangakkara,110,FALSE,178,127,11,4,86.61417322834646,1,B,India,Rajkot
2010-08-28,TM Dilshan,110,FALSE,182,115,12,1,95.65217391304348,1,B,India,Dambulla
2022-06-21,KIC Asalanka,110,FALSE,182,106,10,1,103.77358490566037,1,B,Australia,Colombo (RPS)
2006-02-25,KC Sangakkara,109,FALSE,200,125,11,0,87.2,1,B,Bangladesh,Chattogram
2006-07-01,WU Tharanga,109,FALSE,144,102,14,1,106.86274509803921,2,B,England,Leeds
2007-03-21,ST Jayasuriya,109,FALSE,159,87,7,7,125.28735632183907,1,B,Bangladesh,Port of Spain
2010-06-09,TM Dilshan,108,TRUE,141,102,14,0,105.88235294117648,2,B,Zimbabwe,Harare
2011-03-26,TM Dilshan,108,TRUE,175,115,10,2,93.91304347826087,2,B,England,Colombo (RPS)
1994-11-05,RS Mahanama,108,FALSE,167,149,6,1,72.48322147651007,2,B,Zimbabwe,Harare
1995-04-01,AP Gurusinha,108,FALSE,182,149,10,1,72.48322147651007,1,B,New Zealand,Auckland
1997-07-22,ST Jayasuriya,108,FALSE,108,83,14,3,130.12048192771084,1,B,Bangladesh,Colombo (SSC)
2010-01-08,DPMD Jayawardene,108,FALSE,159,117,13,0,92.3076923076923,2,B,Bangladesh,Mirpur
1994-11-06,PA de Silva,107,TRUE,139,100,9,1,107,1,B,Zimbabwe,Harare
1996-03-17,PA de Silva,107,TRUE,176,124,13,0,86.29032258064517,2,B,Australia,Lahore
2004-07-23,ST Jayasuriya,107,TRUE,130,101,11,0,105.94059405940595,2,B,Bangladesh,Colombo (RPS)
2007-02-17,LPC Silva,107,TRUE,165,107,12,1,100,1,B,India,Visakhapatnam
1992-12-13,RS Mahanama,107,FALSE,182,132,7,0,81.06060606060606,1,B,New Zealand,Colombo (RPS)
2001-04-10,ST Jayasuriya,107,FALSE,NA,116,3,6,92.24137931034483,1,B,New Zealand,Sharjah
2009-01-28,ST Jayasuriya,107,FALSE,166,114,10,1,93.85964912280701,1,B,India,Dambulla
2013-07-02,DPMD Jayawardene,107,FALSE,173,112,9,2,95.53571428571429,1,B,India,Kingston
2001-12-15,DPMD Jayawardene,106,TRUE,119,94,8,2,112.7659574468085,2,B,West Indies,Kandy
2003-01-13,ST Jayasuriya,106,FALSE,151,110,15,1,96.36363636363636,1,B,England,Sydney
